Time [s],Packet ID,MOSI,MISO
2.436901,142,m (0x6D),'14' (0x0E)
2.43690825,142,' ' (0x20),'14' (0x0E)
2.436915625,142,B (0x42),'14' (0x0E)
2.436922875,142,A (0x41),'14' (0x0E)
2.43693025,142,T (0x54),'14' (0x0E)
2.4369375,142,: (0x3A),'14' (0x0E)
2.436944875,142,v (0x76),'14' (0x0E)
2.436983,143,'1' (0x01),'14' (0x0E)
2.43698925,143,'0' (0x00),'4' (0x04)
2.437026375,144,'129' (0x81),'14' (0x0E)
2.437032875,144,'12' (0x0C),'4' (0x04)
2.437084625,145,'1' (0x01),'14' (0x0E)
2.437090875,145,'0' (0x00),'12' (0x0C)
2.437128,146,'129' (0x81),'14' (0x0E)
2.4371345,146,'4' (0x04),'12' (0x0C)
2.437178,147,'1' (0x01),'14' (0x0E)
2.43718425,147,'0' (0x00),'12' (0x0C)
2.437221375,148,'129' (0x81),'14' (0x0E)
2.437227875,148,'0' (0x00),'12' (0x0C)
2.437860375,149,= (0x3D),'14' (0x0E)
2.437866625,149,'0' (0x00),'18' (0x12)
2.437903625,150,'189' (0xBD),'14' (0x0E)
2.437910125,150,'22' (0x16),'18' (0x12)
2.43796175,151,( (0x28),'14' (0x0E)
2.437968,151,'0' (0x00),'0' (0x00)
2.43800525,152,'165' (0xA5),'14' (0x0E)
2.43801175,152,@ (0x40),'0' (0x00)
2.438050875,153,'1' (0x01),'14' (0x0E)
2.438057,153,'0' (0x00),'0' (0x00)
2.43809425,154,'129' (0x81),'14' (0x0E)
2.438100625,154,'16' (0x10),'0' (0x00)
2.438136875,155,' (0x27),'14' (0x0E)
2.438143125,155,'0' (0x00),'0' (0x00)
2.4381805,156,' (0x27),'14' (0x0E)
2.43818675,156,'0' (0x00),'16' (0x10)
2.438224125,157,' (0x27),'14' (0x0E)
2.438230375,157,'0' (0x00),'16' (0x10)
2.43827975,158,' (0x27),'14' (0x0E)
2.438286,158,'0' (0x00),'144' (0x90)
2.438327125,159,$ (0x24),'14' (0x0E)
2.43833325,159,'0' (0x00),'255' (0xFF)
2.43837375,160,'1' (0x01),'14' (0x0E)
2.43838,160,'0' (0x00),'16' (0x10)
2.438417125,161,'129' (0x81),'14' (0x0E)
2.438423625,161,'4' (0x04),'16' (0x10)
2.43847325,162,' (0x27),'14' (0x0E)
