Time[s], Data[Hex]
3.081192, 4
3.08119225, 0
3.0811925, 4
3.08119275, 3
3.081193, 7
3.08119325, 1
3.0811935, 5
3.08119375, 3
3.081194, 7
3.08119425, 3
3.08120975, B
3.081233125, 1
3.081235875, 5
3.08123625, 0
3.0812365, 4
3.08123675, 1
3.081237, 5
3.08123725, 0
3.0812375, 4
3.08123775, 1
3.081238, 5
3.08123825, 0
3.0812385, 4
3.08123875, 0
3.081239, 4
3.08123925, 0
3.0812395, 4
3.08123975, 1
3.081241875, 0
3.081242125, 4
3.081242375, 0
3.081242625, 4
3.081242875, 0
3.081243125, 4
3.081243375, 1
3.081243625, 5
3.081243875, 0
3.081244125, 4
3.081244375, 0
3.081244625, 4
3.081244875, 0
3.081245125, 4
3.081245375, 0
3.081245625, 4
3.081245875, 3
3.08126125, B
3.08128475, 1
3.0812875, 5
3.08128775, 0
3.081288, 4
3.08128825, 1
3.0812885, 5
3.08128875, 0
3.081289, 4
3.08128925, 1
3.0812895, 5
3.08128975, 0
3.08129, 4
3.08129025, 0
3.0812905, 4
3.08129075, 1
3.081291, 5
3.08129125, 3
3.081293625, 7
3.081293875, 3
3.081294125, 7
3.081294375, 2
3.081294625, 6
3.081294875, 3
3.081295125, 7
3.081295375, 3
3.081295625, 7
3.081295875, 3
3.081296125, 7
3.081296375, 2
3.081296625, 6
3.081296875, 2
3.081297125, 6
3.081297375, 1
3.081312875, 9
3.08133625, 1
3.081339125, 5
3.081339375, 0
3.081339625, 4
3.081339875, 1
3.081340125, 5
3.081340375, 0
3.081340625, 4
3.081340875, 1
3.081341125, 5
3.081341375, 1
3.081341625, 5
3.081341875, 1
3.081342125, 5
3.081342375, 0
3.081342625, 4
3.081342875, 3
3.08134525, 7
3.0813455, 0
3.08134575, 4
3.081346, 0
3.08134625, 4
3.0813465, 2
3.08134675, 6
3.081347, 3
3.08134725, 7
3.0813475, 0
3.08134775, 4
3.081348, 0
3.08134825, 4
3.0813485, 0
3.08134875, 4
3.081349, 1
3.081364375, 9
3.081387875, 1
3.081390625, 5
3.081390875, 0
3.081391125, 4
3.081391375, 1
3.081391625, 5
3.081391875, 0
3.081392125, 4
3.081392375, 1
3.081392625, 5
3.081392875, 1
3.081393125, 5
3.081393375, 1
3.081393625, 5
3.081393875, 1
3.081394125, 5
3.081394375, 1
3.0813965, 0
3.08139675, 4
3.081397, 2
3.08139725, 6
3.0813975, 1
3.08139775, 5
3.081398, 2
3.08139825, 6
3.0813985, 3
3.081398625, 1
3.08139875, 5
3.081399, 1
3.081399125, 3
3.08139925, 7
3.0813995, 2
3.081399625, 0
3.08139975, 4
3.0814, 1
3.081400125, 3
3.08140025, 7
3.0814005, 3
3.081400625, 1
3.081416, 9
3.0814395, 1
3.08144225, 5
3.0814425, 0
3.08144275, 4
3.081443, 1
3.08144325, 5
3.0814435, 1
3.08144375, 5
3.081444, 0
3.08144425, 4
3.0814445, 0
3.08144475, 4
3.081445, 0
3.08144525, 4
3.0814455, 0
3.08144575, 4
3.081446, 1
3.081448125, 0
3.081448375, 4
3.081448625, 1
3.081448875, 5
3.081449125, 1
3.081449375, 5
3.081449625, 0
3.081449875, 4
3.081450125, 0
3.081450375, 4
3.081450625, 1
3.081450875, 5
3.081451125, 0
3.081451375, 4
3.081451625, 0
3.081451875, 4
3.081452125, 1
3.0814675, 9
3.081491, 1
3.08149375, 5
3.081494, 0
3.08149425, 4
3.0814945, 1
3.08149475, 5
3.081495, 1
3.08149525, 5
3.0814955, 0
3.08149575, 4
3.081496, 1
3.08149625, 5
3.0814965, 1
3.08149675, 5
3.081497, 1
3.08149725, 5
3.0814975, 1
3.081499875, 5
3.081500125, 0
3.081500375, 4
3.081500625, 0
3.081500875, 4
3.081501125, 1
3.08150125, 3
3.081501375, 7
3.081501625, 3
3.08150175, 0
3.081501875, 4
3.081502125, 0
3.0815025, 4
3.08150275, 0
3.081503, 4
3.08150325, 0
3.0815035, 4
3.08150375, 1
3.081519125, 9
3.081542625, 1
3.081545375, 5
3.081545625, 0
3.081545875, 4
3.081546125, 1
3.081546375, 5
3.081546625, 1
3.081546875, 5
3.081547125, 1
3.081547375, 5
3.081547625, 0
3.081547875, 4
3.081548125, 0
3.081548375, 4
3.081548625, 0
3.081548875, 4
3.081549125, 1
3.08155125, 0
3.0815515, 4
3.08155175, 3
3.081552, 7
3.08155225, 0
3.0815525, 4
3.08155275, 0
3.081553, 4
3.08155325, 0
3.0815535, 4
3.08155375, 0
3.081554, 4
3.08155425, 1
3.0815545, 5
3.08155475, 0
3.081555, 4
3.08155525, 1
3.08157075, 9
3.081594125, 1
3.081596875, 5
3.081597125, 0
3.081597375, 4
3.081597625, 1
3.081597875, 5
3.081598125, 1
3.081598375, 5
3.081598625, 1
3.081598875, 5
3.081599125, 1
3.081599375, 5
3.081599625, 0
3.081599875, 4
3.081600125, 0
3.081600375, 4
3.081600625, 1
3.081603125, 5
3.081603375, 0
3.081603625, 4
3.081603875, 0
3.081604125, 4
3.081604375, 0
3.081604625, 4
3.081604875, 3
3.081605125, 7
3.081605375, 3
3.081605625, 7
3.081605875, 3
3.081606125, 7
3.081606375, 3
3.081606625, 7
3.081606875, 1
3.08162225, 9
3.08164575, 1
3.0816485, 5
3.08164875, 0
3.081649, 4
3.08164925, 1
3.0816495, 5
3.08164975, 1
3.08165, 5
